geoid,geoid20,year,denom_renters,med_gross_rent,med_gross_rent_adj
1400000US06037113426,6037113426,2021,366,1950,2041.9243
1400000US06037113427,6037113427,2021,665,1549,1622.021
1400000US06037113428,6037113428,2021,164,2920,3057.6509
1400000US06037115101,6037115101,2021,220,,
1400000US06037115103,6037115103,2021,5,,
1400000US06037115104,6037115104,2021,1436,1706,1786.422
1400000US06037115202,6037115202,2021,1139,2058,2155.0156
1400000US06037115203,6037115203,2021,836,1568,1641.9166
1400000US06037115204,6037115204,2021,1079,1772,1855.5333
1400000US06037115301,6037115301,2021,812,2132,2232.5039
1400000US06037115302,6037115302,2021,726,1606,1681.708
1400000US06037115401,6037115401,2021,1238,1607,1682.7551
1400000US06037115403,6037115403,2021,755,1423,1490.0812
1400000US06037115404,6037115404,2021,419,1927,2017.8401
1400000US06037117101,6037117101,2021,495,1467,1536.1554
1400000US06037117102,6037117102,2021,191,2122,2222.0325
1400000US06037117201,6037117201,2021,817,1410,1476.4684
1400000US06037117202,6037117202,2021,271,,
1400000US06037117301,6037117301,2021,243,3220,3371.793
1400000US06037117302,6037117302,2021,345,1814,1899.5132
1400000US06037117303,6037117303,2021,208,1865,1952.9174
1400000US06037117404,6037117404,2021,325,2773,2903.7212
1400000US06037117405,6037117405,2021,784,1493,1563.3811
1400000US06037117407,6037117407,2021,1002,1414,1480.657
1400000US06037117408,6037117408,2021,615,1424,1491.1283
1400000US06037117510,6037117510,2021,876,1831,1917.3146
1400000US06037117520,6037117520,2021,924,1447,1515.2126
1400000US06037117530,6037117530,2021,1377,1408,1474.3741
1400000US06037119001,6037119001,2021,189,2485,2602.1445
1400000US06037119003,6037119003,2021,164,2004,2098.47
1400000US06037119004,6037119004,2021,215,1364,1428.2999
1400000US06037119201,6037119201,2021,146,2472,2588.5317
1400000US06037119202,6037119202,2021,240,1432,1499.5055
1400000US06037119310,6037119310,2021,558,1554,1627.2566
1400000US06037119320,6037119320,2021,901,1735,1816.7891
1400000US06037119340,6037119340,2021,1026,1347,1410.4985
1400000US06037119341,6037119341,2021,514,1631,1707.8865
1400000US06037119342,6037119342,2021,398,1689,1768.6206
1400000US06037119400,6037119400,2021,148,2286,2393.7637
1400000US06037119700,6037119700,2021,235,1676,1755.0078
1400000US06037119801,6037119801,2021,114,2990,3130.9507
1400000US06037119802,6037119802,2021,244,2151,2252.3997
1400000US06037119900,6037119900,2021,258,1941,2032.5001
1400000US06037120010,6037120010,2021,451,1517,1588.5125
1400000US06037120020,6037120020,2021,1036,1332,1394.7914
